adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 PL DE LA MONTAGNE DU GOULET,04/09/2024,371900.0,75015,PARIS,38.0,0.0,2.0,115,Appartement,9786.842105263158,1 PL DE LA MONTAGNE DU GOULET 75015 PARIS,2.277489,48.844514,0.8663360330578512
1 PL DE LA MONTAGNE DU GOULET,25/03/2024,860000.0,75015,PARIS,105.0,0.0,5.0,115,Appartement,8190.476190476191,1 PL DE LA MONTAGNE DU GOULET 75015 PARIS,2.277489,48.844514,0.8663360330578512
1 PL DE LA PAIX,26/01/2024,160000.0,95300,PONTOISE,82.0,0.0,4.0,500,Appartement,1951.219512195122,1 PL DE LA PAIX 95300 PONTOISE,2.08987,49.058168,0.8234425895316804
1 PL DE LA REPUBLIQUE,15/10/2024,135000.0,92300,LEVALLOIS-PERRET,15.0,0.0,1.0,44,Appartement,9000.0,1 PL DE LA REPUBLIQUE 92300 LEVALLOIS-PERRET,2.289186,48.893204,0.8684582011605415
1 PL DE LA REPUBLIQUE,28/02/2024,2400000.0,95270,LUZARCHES,152.0,15534.0,8.0,352,Appartement,15789.473684210527,1 PL DE LA REPUBLIQUE 95270 LUZARCHES,2.424988,49.112968,0.8340881818181818
1 PL DE LA REPUBLIQUE,30/04/2024,90000.0,95000,CERGY,30.0,0.0,1.0,127,Appartement,3000.0,1 PL DE LA REPUBLIQUE 95000 CERGY,2.062201,49.034233,0.8394173737373737
1 PL DE LA TRINITE,12/06/2024,252500.0,78117,CHATEAUFORT,120.0,118.0,5.0,143,Maison,2104.1666666666665,1 PL DE LA TRINITE 78117 CHATEAUFORT,2.092585,48.733505,0.8290617016317016
1 PL DE VALOIS,18/12/2024,880195.0,75001,PARIS,74.0,0.0,2.0,101,Appartement,11894.527027027027,1 PL DE VALOIS 75001 PARIS,2.338086,48.86337,0.8011956426332288
1 PL DEGEYTER,06/05/2024,141000.0,93420,VILLEPINTE,50.0,0.0,2.0,78,Appartement,2820.0,1 PL DEGEYTER 93420 VILLEPINTE,2.563147,48.947578,0.8226271349862259
1 PL DES AUBEPINES,13/09/2024,172943.6,77420,CHAMPS-SUR-MARNE,52.0,0.0,2.0,83,Appartement,3325.8384615384616,1 PL DES AUBEPINES 77420 CHAMPS-SUR-MARNE,2.584936,48.847147,0.8565660330578512
1 PL DES BRUGNAUTS,01/03/2024,150000.0,92220,BAGNEUX,55.0,0.0,2.0,7,Appartement,2727.2727272727275,1 PL DES BRUGNAUTS 92220 BAGNEUX,2.300977,48.789819,0.8350998701298701
1 PL DES CHARMES,30/01/2024,143000.0,77176,SAVIGNY-LE-TEMPLE,65.0,0.0,3.0,445,Appartement,2200.0,1 PL DES CHARMES 77176 SAVIGNY-LE-TEMPLE,2.545393,48.603404,0.8547944820295982
